question,variable,value,label
Presse- und Medienfreiheit,CDU/CSU,3,"Zustimmung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,CDU/CSU,1,Ablehnung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
medizinische Tierversuche weiterhin erlauben,CDU/CSU,3,Zustimmung zu 'In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.'
Europäische Polizei stärken,CDU/CSU,3,Zustimmung zu 'Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.'
EU-weit Mindeststeuersatz für Unternehmen,CDU/CSU,2,Neutral zu 'Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.'
Einführung Gleichgeschlechtliche Ehe fördern,CDU/CSU,2,"Neutral zu 'Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.'"
Staatsverschuldung konsequent bestrafen,CDU/CSU,3,"Zustimmung zu 'Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.'"
Lkw-Maut auf Fernstraßen einführen,CDU/CSU,1,Ablehnung zu 'In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.'
EU als christliche Wertegemeinschaft verstehen,CDU/CSU,3,Zustimmung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
Alle Banken verstaatlichen,CDU/CSU,1,Ablehnung zu 'Alle Banken sollen verstaatlicht werden.'
"""Mittelmeer-Route"" schließen",CDU/CSU,2,"Neutral zu 'Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.'"
Sanktionen gegen Russland abbauen,CDU/CSU,1,Ablehnung zu 'Die EU soll ihre Sanktionen gegen Russland abbauen.'
Plastikverpackungen besteuern,CDU/CSU,2,Neutral zu 'In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.'
Initiativen gegen Antisemitismus fördern,CDU/CSU,3,Zustimmung zu 'In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.'
EU-Außenpolitik mit Mehrheitsentscheiden,CDU/CSU,3,Zustimmung zu 'Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden können.'
Proportionale Verteilung Asylsuchende in EU,CDU/CSU,3,Zustimmung zu 'Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.'
Fischerei Fangmengen begrenzen,CDU/CSU,3,Zustimmung zu 'Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.'
Grenzkontrollen innerhalb EU einführen,CDU/CSU,1,Ablehnung zu 'Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.'
Vereinigte Staaten von Europa entwickeln,CDU/CSU,1,Ablehnung zu 'Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.'
Wahlrecht ab 16 bei Europawahl,CDU/CSU,1,Ablehnung zu 'Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.'
EU-Bürgerentscheide einführen,SPD,3,Zustimmung zu 'Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.'
Höhere Ziele CO2-Reduktion,SPD,3,Zustimmung zu 'Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.'
europäische Armee aufbauen,SPD,3,Zustimmung zu 'Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.'
Bio-Landwirtschaft fördern,SPD,3,Zustimmung zu 'Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.'
Euro abschaffen,SPD,1,Ablehnung zu 'Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.'
private Seenotrettung unterstützen,SPD,3,Zustimmung zu 'Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.'
Finanz-Transaktions-Steuer einführen,SPD,3,Zustimmung zu 'Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.'
Gentechnik (bei Pflanzen) erlauben,SPD,1,Ablehnung zu 'Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.'
Sozialleistungen im EU-Ausland kürzen,SPD,1,"Ablehnung zu 'EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.'"
transnationale Listen bei Europawahl,SPD,3,Zustimmung zu 'EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.'
Mehr Entwicklungshilfe,SPD,3,Zustimmung zu 'Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.'
Fluggäste Daten weiterhin speichern,SPD,2,Neutral zu 'Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.'
nationaler Mindestlohn in allen Ländern,SPD,3,Zustimmung zu 'Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.'
Flüchtlingsdeal mit Türkei beibehalten,SPD,1,Ablehnung zu 'Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.'
Frauenquote in Aufsichtsräten festlegen,SPD,3,Zustimmung zu 'In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.'
Dexit (Deutschland soll EU verlassen),SPD,1,Ablehnung zu 'Deutschland soll aus der Europäischen Union austreten.'
Atomkraft weiterhin erlauben,SPD,1,Ablehnung zu 'In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.'
Zuwanderung Fachkräfte aus Nicht-EU fördern,SPD,3,Zustimmung zu 'Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.'
Presse- und Medienfreiheit,SPD,3,"Zustimmung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,SPD,1,Ablehnung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
medizinische Tierversuche weiterhin erlauben,SPD,3,Zustimmung zu 'In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.'
Europäische Polizei stärken,SPD,3,Zustimmung zu 'Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.'
EU-weit Mindeststeuersatz für Unternehmen,SPD,3,Zustimmung zu 'Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.'
Einführung Gleichgeschlechtliche Ehe fördern,SPD,3,"Zustimmung zu 'Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.'"
Staatsverschuldung konsequent bestrafen,SPD,2,"Neutral zu 'Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.'"
Lkw-Maut auf Fernstraßen einführen,SPD,3,Zustimmung zu 'In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.'
EU als christliche Wertegemeinschaft verstehen,SPD,1,Ablehnung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
Alle Banken verstaatlichen,SPD,1,Ablehnung zu 'Alle Banken sollen verstaatlicht werden.'
"""Mittelmeer-Route"" schließen",SPD,1,"Ablehnung zu 'Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.'"
Sanktionen gegen Russland abbauen,SPD,3,Zustimmung zu 'Die EU soll ihre Sanktionen gegen Russland abbauen.'
Plastikverpackungen besteuern,SPD,1,Ablehnung zu 'In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.'
Initiativen gegen Antisemitismus fördern,SPD,3,Zustimmung zu 'In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.'
EU-Außenpolitik mit Mehrheitsentscheiden,SPD,3,Zustimmung zu 'Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden können.'
Proportionale Verteilung Asylsuchende in EU,SPD,3,Zustimmung zu 'Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.'
Fischerei Fangmengen begrenzen,SPD,3,Zustimmung zu 'Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.'
Grenzkontrollen innerhalb EU einführen,SPD,1,Ablehnung zu 'Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.'
Vereinigte Staaten von Europa entwickeln,SPD,3,Zustimmung zu 'Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.'
Wahlrecht ab 16 bei Europawahl,SPD,3,Zustimmung zu 'Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.'
EU-Bürgerentscheide einführen,Grüne,3,Zustimmung zu 'Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.'
Höhere Ziele CO2-Reduktion,Grüne,3,Zustimmung zu 'Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.'
europäische Armee aufbauen,Grüne,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.'
Bio-Landwirtschaft fördern,Grüne,3,Zustimmung zu 'Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.'
Euro abschaffen,Grüne,1,Ablehnung zu 'Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.'
private Seenotrettung unterstützen,Grüne,3,Zustimmung zu 'Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.'
Finanz-Transaktions-Steuer einführen,Grüne,3,Zustimmung zu 'Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.'
Gentechnik (bei Pflanzen) erlauben,Grüne,1,Ablehnung zu 'Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.'
Sozialleistungen im EU-Ausland kürzen,Grüne,1,"Ablehnung zu 'EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.'"
transnationale Listen bei Europawahl,Grüne,3,Zustimmung zu 'EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.'
Mehr Entwicklungshilfe,Grüne,3,Zustimmung zu 'Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.'
Fluggäste Daten weiterhin speichern,Grüne,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.'
nationaler Mindestlohn in allen Ländern,Grüne,3,Zustimmung zu 'Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.'
Flüchtlingsdeal mit Türkei beibehalten,Grüne,1,Ablehnung zu 'Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.'
Frauenquote in Aufsichtsräten festlegen,Grüne,3,Zustimmung zu 'In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.'
Dexit (Deutschland soll EU verlassen),Grüne,1,Ablehnung zu 'Deutschland soll aus der Europäischen Union austreten.'
Atomkraft weiterhin erlauben,Grüne,1,Ablehnung zu 'In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.'
Zuwanderung Fachkräfte aus Nicht-EU fördern,Grüne,3,Zustimmung zu 'Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.'
Presse- und Medienfreiheit,Grüne,3,"Zustimmung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,Grüne,1,Ablehnung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
medizinische Tierversuche weiterhin erlauben,Grüne,1,Ablehnung zu 'In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.'
Europäische Polizei stärken,Grüne,3,Zustimmung zu 'Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.'
EU-weit Mindeststeuersatz für Unternehmen,Grüne,3,Zustimmung zu 'Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.'
Einführung Gleichgeschlechtliche Ehe fördern,Grüne,3,"Zustimmung zu 'Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.'"
Staatsverschuldung konsequent bestrafen,Grüne,2,"Neutral zu 'Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.'"
Lkw-Maut auf Fernstraßen einführen,Grüne,3,Zustimmung zu 'In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.'
EU als christliche Wertegemeinschaft verstehen,Grüne,1,Ablehnung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
Alle Banken verstaatlichen,Grüne,1,Ablehnung zu 'Alle Banken sollen verstaatlicht werden.'
"""Mittelmeer-Route"" schließen",Grüne,1,"Ablehnung zu 'Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.'"
Sanktionen gegen Russland abbauen,Grüne,1,Ablehnung zu 'Die EU soll ihre Sanktionen gegen Russland abbauen.'
Plastikverpackungen besteuern,Grüne,3,Zustimmung zu 'In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.'
Initiativen gegen Antisemitismus fördern,Grüne,3,Zustimmung zu 'In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.'
EU-Außenpolitik mit Mehrheitsentscheiden,Grüne,3,Zustimmung zu 'Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden können.'
Proportionale Verteilung Asylsuchende in EU,Grüne,3,Zustimmung zu 'Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.'
Fischerei Fangmengen begrenzen,Grüne,3,Zustimmung zu 'Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.'
Grenzkontrollen innerhalb EU einführen,Grüne,1,Ablehnung zu 'Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.'
Vereinigte Staaten von Europa entwickeln,Grüne,3,Zustimmung zu 'Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.'
Wahlrecht ab 16 bei Europawahl,Grüne,3,Zustimmung zu 'Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.'
EU-Bürgerentscheide einführen,DIE LINKE,3,Zustimmung zu 'Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.'
Höhere Ziele CO2-Reduktion,DIE LINKE,3,Zustimmung zu 'Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.'
europäische Armee aufbauen,DIE LINKE,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.'
Bio-Landwirtschaft fördern,DIE LINKE,3,Zustimmung zu 'Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.'
Euro abschaffen,DIE LINKE,1,Ablehnung zu 'Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.'
private Seenotrettung unterstützen,DIE LINKE,3,Zustimmung zu 'Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.'
Finanz-Transaktions-Steuer einführen,DIE LINKE,3,Zustimmung zu 'Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.'
Gentechnik (bei Pflanzen) erlauben,DIE LINKE,1,Ablehnung zu 'Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.'
Sozialleistungen im EU-Ausland kürzen,DIE LINKE,1,"Ablehnung zu 'EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.'"
transnationale Listen bei Europawahl,DIE LINKE,1,Ablehnung zu 'EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.'
Mehr Entwicklungshilfe,DIE LINKE,3,Zustimmung zu 'Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.'
Fluggäste Daten weiterhin speichern,DIE LINKE,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.'
nationaler Mindestlohn in allen Ländern,DIE LINKE,3,Zustimmung zu 'Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.'
Flüchtlingsdeal mit Türkei beibehalten,DIE LINKE,1,Ablehnung zu 'Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.'
Frauenquote in Aufsichtsräten festlegen,DIE LINKE,3,Zustimmung zu 'In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.'
Dexit (Deutschland soll EU verlassen),DIE LINKE,1,Ablehnung zu 'Deutschland soll aus der Europäischen Union austreten.'
Atomkraft weiterhin erlauben,DIE LINKE,1,Ablehnung zu 'In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.'
Zuwanderung Fachkräfte aus Nicht-EU fördern,DIE LINKE,2,Neutral zu 'Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.'
Presse- und Medienfreiheit,DIE LINKE,3,"Zustimmung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,DIE LINKE,1,Ablehnung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
medizinische Tierversuche weiterhin erlauben,DIE LINKE,2,Neutral zu 'In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.'
Europäische Polizei stärken,DIE LINKE,1,Ablehnung zu 'Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.'
EU-weit Mindeststeuersatz für Unternehmen,DIE LINKE,3,Zustimmung zu 'Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.'
Einführung Gleichgeschlechtliche Ehe fördern,DIE LINKE,3,"Zustimmung zu 'Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.'"
Staatsverschuldung konsequent bestrafen,DIE LINKE,1,"Ablehnung zu 'Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.'"
Lkw-Maut auf Fernstraßen einführen,DIE LINKE,3,Zustimmung zu 'In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.'
EU als christliche Wertegemeinschaft verstehen,DIE LINKE,1,Ablehnung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
Alle Banken verstaatlichen,DIE LINKE,3,Zustimmung zu 'Alle Banken sollen verstaatlicht werden.'
"""Mittelmeer-Route"" schließen",DIE LINKE,1,"Ablehnung zu 'Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.'"
Sanktionen gegen Russland abbauen,DIE LINKE,3,Zustimmung zu 'Die EU soll ihre Sanktionen gegen Russland abbauen.'
Plastikverpackungen besteuern,DIE LINKE,3,Zustimmung zu 'In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.'
Initiativen gegen Antisemitismus fördern,DIE LINKE,3,Zustimmung zu 'In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.'
EU-Außenpolitik mit Mehrheitsentscheiden,DIE LINKE,1,Ablehnung zu 'Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden können.'
Proportionale Verteilung Asylsuchende in EU,DIE LINKE,3,Zustimmung zu 'Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.'
Fischerei Fangmengen begrenzen,DIE LINKE,3,Zustimmung zu 'Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.'
Grenzkontrollen innerhalb EU einführen,DIE LINKE,1,Ablehnung zu 'Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.'
Vereinigte Staaten von Europa entwickeln,DIE LINKE,1,Ablehnung zu 'Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.'
Wahlrecht ab 16 bei Europawahl,DIE LINKE,3,Zustimmung zu 'Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.'
EU-Bürgerentscheide einführen,AfD,1,Ablehnung zu 'Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.'
Höhere Ziele CO2-Reduktion,AfD,1,Ablehnung zu 'Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.'
europäische Armee aufbauen,AfD,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.'
Bio-Landwirtschaft fördern,AfD,1,Ablehnung zu 'Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.'
Euro abschaffen,AfD,3,Zustimmung zu 'Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.'
private Seenotrettung unterstützen,AfD,1,Ablehnung zu 'Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.'
Finanz-Transaktions-Steuer einführen,AfD,2,Neutral zu 'Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.'
Gentechnik (bei Pflanzen) erlauben,AfD,3,Zustimmung zu 'Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.'
Sozialleistungen im EU-Ausland kürzen,AfD,3,"Zustimmung zu 'EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.'"
transnationale Listen bei Europawahl,AfD,1,Ablehnung zu 'EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.'
Mehr Entwicklungshilfe,AfD,1,Ablehnung zu 'Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.'
Fluggäste Daten weiterhin speichern,AfD,2,Neutral zu 'Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.'
nationaler Mindestlohn in allen Ländern,AfD,1,Ablehnung zu 'Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.'
Flüchtlingsdeal mit Türkei beibehalten,AfD,1,Ablehnung zu 'Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.'
Frauenquote in Aufsichtsräten festlegen,AfD,1,Ablehnung zu 'In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.'
Dexit (Deutschland soll EU verlassen),AfD,2,Neutral zu 'Deutschland soll aus der Europäischen Union austreten.'
Atomkraft weiterhin erlauben,AfD,3,Zustimmung zu 'In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.'
Zuwanderung Fachkräfte aus Nicht-EU fördern,AfD,1,Ablehnung zu 'Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.'
Presse- und Medienfreiheit,AfD,1,"Ablehnung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,AfD,3,Zustimmung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
medizinische Tierversuche weiterhin erlauben,AfD,3,Zustimmung zu 'In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.'
Europäische Polizei stärken,AfD,1,Ablehnung zu 'Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.'
EU-weit Mindeststeuersatz für Unternehmen,AfD,1,Ablehnung zu 'Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.'
Einführung Gleichgeschlechtliche Ehe fördern,AfD,1,"Ablehnung zu 'Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.'"
Staatsverschuldung konsequent bestrafen,AfD,3,"Zustimmung zu 'Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.'"
Lkw-Maut auf Fernstraßen einführen,AfD,1,Ablehnung zu 'In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.'
EU als christliche Wertegemeinschaft verstehen,AfD,3,Zustimmung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
Alle Banken verstaatlichen,AfD,1,Ablehnung zu 'Alle Banken sollen verstaatlicht werden.'
